Participant ID,Email,Meal preference,Allergic,Topic of interest,Website rating,Reminder date,Previous versions participated
F803,6c4us@gmail.com,Meat,No,Software Testing,5,2033-07-08,1
H680,ovp8ajiz@outlook.com,Pasta (veg),No,SE4AI,5,2027-07-31,4
I637,pkrzsgcc11@yahoo.com,Meat,No,SE4AI,5,2029-02-18,0
M213,lafpyosjlm@outlook.com,Pasta (veg),No,AI4SE,60%,2026-06-20,0
W634,z96cz@yahoo.com,Pasta (veg),No,Empirical SE | Software Testing | SE4AI,5,2031-03-07,3
I969,1zhhmpco8g@yahoo.com,Pasta (veg),No,MDE | Software Testing | AI4SE,1,2033-11-26,4
A391,dlbbfm64@outlook.com,Fish,No,Software Testing,2,2035-03-18,2
G178,si9ed5gept@example.com,Meat - Just lamb,No,MDE | Empirical SE | SE4AI,2,2026-03-04,4
C232,zfvmo6zwqo@gmail.com,Pasta (veg),No,Software Testing | Empirical SE | SE4AI,5,2026-03-27,3
Q230,2z10l9qm0w@yahoo.com,Pasta - without mushrooms,No,MDE | SE4AI | Empirical SE,1,2029-04-15,1
J207,8e9jh@example.com,Meat,No,MDE,2,2032-02-27,2
V753,37j0amy@gmail.com,Pasta (veg),No,Empirical SE,60%,2031-06-07,2
G400,sihaaagzu@gmail.com,Fish,No,Software Testing,4,2033-03-24,2
E935,o3r9aobdr@example.com,Meat,No,SE4AI,40%,2032-01-15,4
A159,b5601bwu@hotmail.com,Fish - (only if NOT Salmon or Cod),No,MDE | Software Testing | Empirical SE,5,2035-03-12,5
Q290,ixcaht@outlook.com,Pasta (veg),No,Software Testing,2,2030-01-10,2
C140,oqi6v2@outlook.com,Meat,No,AI4SE,20%,2025-08-11,5
Y555,glbajp@hotmail.com,Fish,No,SE4AI,2,2033-11-28,4
W534,ehprlgthd@hotmail.com,Fish - (only if NOT Salmon or Cod),No,Empirical SE | SE4AI | Software Testing,1,2030-11-11,0
O143,xyrutdf@example.com,Pasta (veg),No,SE4AI | AI4SE | Software Testing,1,2029-11-01,3
P743,fdb3e5dcwp@outlook.com,Meat,No,MDE | Empirical SE | Software Testing,1,2029-07-16,0
U557,kiljuul@outlook.com,Pasta (veg),No,Software Testing,20%,2033-06-15,1
L324,zae06f@example.com,Meat,No,MDE,1,2027-07-13,4
O034,otppi@example.com,Pasta (veg),Yes,AI4SE,5,2030-03-20,0
H737,ezub7x1aj@hotmail.com,Fish,Yes,SE4AI,2,2031-01-16,1
T524,0eis9xsi@outlook.com,Meat - Halal,No,Empirical SE | MDE | AI4SE,4,2035-05-01,3
