Participant ID,Email,Meal preference,Allergic,Topic of interest,Website rating,Reminder date,Previous versions participated
H086,4lkid7o@yahoo.com,Pasta (veg),No,AI4SE,1,2028-11-11,5
Q063,5pyys@hotmail.com,Fish,No,Empirical SE,4,2032-11-07,5
G125,hxqve@hotmail.com,Fish,Yes,Empirical SE,2,2035-02-17,0
V535,kkfubc@outlook.com,Fish,No,MDE,5,2031-06-15,5
A504,mqefg0d@yahoo.com,Pasta (veg),No,Empirical SE,60%,2035-02-05,3
Z257,4hshd@hotmail.com,Meat,No,AI4SE,5,2034-10-26,2
M205,8yj1f1uujd@yahoo.com,Pasta (veg),No,Empirical SE,1,2029-01-06,2
I676,h68f8pq5@hotmail.com,Meat,No,MDE,5,2025-10-04,Not many
B276,zt7s7xili7@hotmail.com,Pasta (veg),No,AI4SE,60%,2029-06-26,3
K532,u8p3wnb0g@example.com,Pasta - with beef,No,SE4AI,5,2031-04-15,1
I226,gqtyx3b@example.com,Meat,No,Empirical SE,1,2025-12-06,5
V090,2i8a28@gmail.com,Pasta (veg),No,Empirical SE,80%,2033-09-13,2
S027,0w9de2m1uj@yahoo.com,Pasta (veg),No,SE4AI,4,2034-06-18,5
I036,ilijc@hotmail.com,Fish,Yes,SE4AI,60%,2033-02-04,5
P276,fcvxp@yahoo.com,Fish,Yes,AI4SE,4,2035-02-25,All
G293,0y4sf6o9lk@hotmail.com,Pasta - with beef,No,Empirical SE,1,2035-01-13,2
Y472,0doxmm@outlook.com,Fish - (only if wild-caught; cannot eat farmed fish temporarily),No,AI4SE,5,2032-04-17,2
L687,ocy77f@yahoo.com,Pasta - without mushrooms,No,Empirical SE,5,2027-08-13,0
A526,tcxj7@hotmail.com,Pasta (veg),Yes,MDE,2,2026-01-15,1
J844,xxtxskvyp@yahoo.com,Pasta (veg),No,Software Testing,2,2027-08-21,Not many
H796,2j1ne@gmail.com,Meat,No,MDE,1,2031-12-29,Not many
G476,8bhngrw3ou@yahoo.com,Pasta (veg),No,SE4AI,3,2025-07-16,4
G686,kbvx76yfz@yahoo.com,Fish,No,SE4AI,1,2035-03-07,Almost all
V457,lrx0l8mf3u@gmail.com,Fish,No,AI4SE,100%,2031-07-15,3
Z179,q1lm8eo@gmail.com,Pasta (veg),Yes,AI4SE,1,2028-08-25,2
R543,1dr1k9@hotmail.com,Pasta - without mushrooms,No,SE4AI,2,2034-09-09,4
