Participant ID,Email,Meal preference,Allergic,Topic of interest,Website rating,Reminder date,Previous versions participated
Y611,78zct@gmail.com,Pasta (veg),Yes,Software Testing,1,2035-04-23,0
N386,ojo750@outlook.com,Fish,No,Empirical SE,2,2034-03-30,1
K132,xq62w5@gmail.com,Meat,No,AI4SE | MDE | Software Testing,2,2035-11-28,0
E584,dp7xo0kp@example.com,Fish,No,AI4SE,2,16/01/2027,2
P446,ctfeiqcx@outlook.com,Pasta (veg),Yes,MDE | Software Testing | AI4SE,3,2029-06-27,1
Z349,qvmc9o@hotmail.com,Pasta (veg),No,Software Testing,3,14/03/2033,4
E159,q6flaa@example.com,Pasta (veg),No,AI4SE,20%,2032-01-03,2
D231,7dyl0z5@outlook.com,Fish,No,AI4SE,60%,2030-07-15,2
T748,w5nm404pcl@hotmail.com,Fish,No,AI4SE,3,2031-12-07,2
M287,kpkyp@outlook.com,Fish,No,MDE,3,28/12/2032,4
U138,jn1y8jq@outlook.com,Pasta (veg),No,Empirical SE,40%,2034-10-16,1
H357,1p0oo7y0j@hotmail.com,Pasta (veg),No,MDE,1,2034-11-25,0
Q442,847iit@gmail.com,Pasta (veg),No,Software Testing | MDE | Empirical SE,4,2035-04-14,3
Z374,a7soata0@yahoo.com,Meat,No,MDE,5,2032-08-19,1
T480,5qgrz@yahoo.com,Pasta (veg),Yes,Software Testing,1,2027-03-16,1
R843,3dzbzoi@example.com,Fish,No,Empirical SE | MDE | SE4AI,2,2032-09-03,1
Z632,p0qtjv@hotmail.com,Fish,No,SE4AI,1,15/07/2027,0
J249,6bcn8w6ed9@yahoo.com,Meat,No,AI4SE,4,2030-09-03,1
U249,oixyq@yahoo.com,Pasta (veg),No,AI4SE,2,2033-06-18,4
X620,963rr7r5@hotmail.com,Meat,No,MDE,3,2025-10-05,1
Y164,g42u90@outlook.com,Pasta (veg),No,Software Testing,4,June 2025,5
C017,zrgw1z6@hotmail.com,Fish,No,Empirical SE,80%,2032-06-08,1
D919,y9m0fqhn5@yahoo.com,Fish,No,MDE,1,2031-09-11,2
H700,bspch@example.com,Meat,No,AI4SE,2,2027-05-20,5
G257,2re4te8@example.com,Pasta (veg),No,Software Testing | AI4SE | MDE,3,2026-06-03,2
V130,zvlreh@outlook.com,Meat,No,MDE,80%,2026-03-09,4
