Participant ID,Email,Meal preference,Allergic,Topic of interest,Website rating,Reminder date,Previous versions participated
K977,91atmjltq8@example.com,Pasta (veg),No,SE4AI,4,2025-07-14,2
I072,2xsouwb3@hotmail.com,Fish,No,Software Testing,3,2025-07-07,4
V342,kl9vamkxt5@yahoo.com,Meat,No,AI4SE,2,2031-01-02,Not many
K870,odbaicc@hotmail.com,Pasta - without mushrooms,No,Empirical SE | AI4SE | SE4AI,3,2035-01-09,5
F502,3i4ei7z1@yahoo.com,Pasta (veg),No,SE4AI,2,November 2026,5
H977,bepagkfxjt@yahoo.com,Fish,No,AI4SE,3,March 2026,2
B516,78xsmn6kt@gmail.com,Meat,No,Software Testing,3,2025-05-13,Almost all
Q888,g31yqk@yahoo.com,Fish,No,Empirical SE,3,2029-04-06,Almost all
P249,cv8lxbh@yahoo.com,Meat,No,Software Testing,1,2025-09-11,5
E969,bxxt46@outlook.com,Fish,No,SE4AI,1,30/09/2028,5
R970,eo6keyr@gmail.com,Pasta (veg),No,MDE,4,2026-04-29,All
S481,w5be3g@hotmail.com,Fish - (only if NOT Salmon or Cod),No,Empirical SE | Software Testing | AI4SE,2,2032-02-29,3
Q349,ftwrb0ib@gmail.com,Fish,No,Software Testing,4,December 2025,1
N249,usrvh5fg@yahoo.com,Fish,No,MDE,2,2029-12-19,3
M006,k7z1m1@hotmail.com,Fish - (only if NOT Salmon or Cod),No,SE4AI | Software Testing | Empirical SE,2,2028-06-23,2
Q014,2ft17a5w@gmail.com,Pasta (veg),No,AI4SE,2,2029-10-13,4
M260,4ehig9p@example.com,Pasta - with beef,No,AI4SE | SE4AI | MDE,3,2031-09-23,5
U133,3378xm@hotmail.com,Meat,No,MDE,1,2027-05-08,1
L847,w071j@gmail.com,Fish,No,Software Testing,5,2032-11-24,4
J139,f8tqd@outlook.com,Fish,No,Empirical SE,1,2030-09-22,5
J115,dwui1f367@hotmail.com,Meat,No,Empirical SE,3,15/07/2034,5
P704,jxinh@example.com,Pasta (veg),No,MDE,1,2029-05-20,All
P934,mrbfgqsd0@outlook.com,Fish - (only if NOT Salmon or Cod),No,MDE | SE4AI | Empirical SE,1,2025-09-29,0
E463,17vyj53w7w@hotmail.com,Meat,No,Empirical SE,5,2026-08-31,0
X229,zkgmz1lvn1@gmail.com,Fish,No,AI4SE,2,2034-08-25,1
L320,66899qqy@hotmail.com,Fish,Yes,SE4AI,3,2028-11-13,4
