Participant ID,Email,Meal preference,Allergic,Topic of interest,Website rating,Reminder date,Previous versions participated
B446,2d1f32tic7@outlook.com,Meat,No,Software Testing,4,2031-10-20,3
S754,lgxct4zo9@outlook.com,Fish,No,MDE,3,2027-06-25,0
D188,svzsq5nr8q@example.com,Meat,No,Empirical SE,1,2031-02-03,2
D859,g77zmzxbw5@gmail.com,Meat,No,SE4AI,5,2031-02-19,2
I803,c6dsqv@yahoo.com,Fish,No,AI4SE,2,2027-11-22,2
J557,ggfak76pmn@hotmail.com,Meat,No,Empirical SE,60%,2025-11-09,2
S970,d9p1dqvk@yahoo.com,Fish,No,SE4AI,4,2030-10-11,0
J073,rr2thqopri@hotmail.com,Pasta - without mushrooms,No,MDE | Empirical SE | Software Testing,2,2033-06-12,5
O584,eiesemz@yahoo.com,Fish,No,SE4AI,5,2030-12-09,2
Z938,nt5t0@example.com,Pasta (veg),No,MDE,5,2026-05-21,3
H429,17sq3gi@gmail.com,Meat,No,Software Testing,80%,2029-08-21,4
P615,w9bmetmhh@gmail.com,Meat - Just lamb,No,AI4SE | SE4AI | Empirical SE,4,2034-12-20,2
Z146,lujp4w5h@example.com,Meat - Halal,No,SE4AI | AI4SE | Software Testing,3,2035-09-08,0
V179,0giwlvlo6@gmail.com,Pasta (veg),Yes,AI4SE,3,21/03/2033,2
N741,97re4b@example.com,Meat,No,AI4SE,80%,2026-10-07,4
J757,fp6f5v49h@yahoo.com,Fish,No,SE4AI,60%,2035-01-31,4
S553,vukzvbm@yahoo.com,Meat - Halal,No,AI4SE | SE4AI | Empirical SE,4,2030-05-22,5
B265,c5ubky@example.com,Pasta (veg),No,Software Testing,1,2026-06-21,1
J538,f9hvkgsq@outlook.com,Meat,No,SE4AI,3,24/01/2035,3
R054,zg43l4c@outlook.com,Fish,Yes,Empirical SE,2,November 2025,0
H379,7yvew0f@outlook.com,Pasta (veg),No,Software Testing,2,2028-04-14,4
W366,2ho81gm4@outlook.com,Meat,No,SE4AI,5,October 2025,5
I741,q2u1n2@outlook.com,Meat,No,AI4SE,20%,2035-11-17,1
Z466,y887j4q0@hotmail.com,Meat,No,SE4AI,5,February 2025,3
T541,mklxdvoyru@hotmail.com,Pasta - with beef,No,MDE | Empirical SE | SE4AI,1,2027-09-19,0
R223,mwksy2dnv6@example.com,Fish,No,SE4AI,5,2034-06-02,3
