Participant ID,Email,Meal preference,Allergic,Topic of interest,Website rating,Reminder date,Previous versions participated
R016,6qveq@gmail.com,Fish,No,MDE,2,2028-08-11,3
X342,f6a181@hotmail.com,Fish,No,MDE,5,2028-06-13,1
F672,tfzmc7au@hotmail.com,Pasta (veg),No,AI4SE,40%,2029-07-12,3
K963,kkri1486@yahoo.com,Meat - Just lamb,No,Software Testing,2,2028-11-02,1
S387,zwsy4@yahoo.com,Fish,Yes,MDE,60%,2026-07-09,0
U947,rkpne8o01d@gmail.com,Meat - Halal,No,AI4SE,3,2026-12-29,1
Z217,ujdqk5nc@gmail.com,Pasta (veg),No,SE4AI,4,2031-04-12,4
G628,d2343x12@outlook.com,Meat - Just lamb,No,SE4AI | Empirical SE | AI4SE,2,2027-06-15,0
U609,h4b2q@hotmail.com,Pasta (veg),No,AI4SE,2,2027-10-09,2
K668,i8ye651@gmail.com,Meat,No,Software Testing,5,2032-08-09,0
O673,95kvp@yahoo.com,Meat - Halal,No,Software Testing | SE4AI | MDE,3,2025-03-10,1
R908,rzju1@gmail.com,Fish - (only if NOT Salmon or Cod),No,AI4SE,1,2033-12-23,3
Q327,2j6mz2f@example.com,Meat,No,MDE,100%,2034-05-10,5
T974,2sfpsw9s1@gmail.com,Fish,No,Software Testing,2,2034-01-27,4
V942,k889dzcg@hotmail.com,Pasta (veg),No,Empirical SE,3,2032-07-29,0
D504,a3paxtr@hotmail.com,Fish - (only if NOT Salmon or Cod),No,AI4SE | SE4AI | MDE,5,2032-08-24,2
M649,jramc@hotmail.com,Meat - Just lamb,No,SE4AI | Software Testing | MDE,3,2027-08-08,5
N665,ln1azsgl@yahoo.com,Meat,No,AI4SE,60%,2026-09-29,2
F234,udnhxi@yahoo.com,Pasta (veg),No,Empirical SE,60%,2026-09-28,5
E488,i9zq70tqp9@example.com,Fish - (only if wild-caught; cannot eat farmed fish temporarily),No,Software Testing,1,2035-05-30,1
O561,kibai9rf@hotmail.com,Fish - (only if NOT Salmon or Cod),No,Empirical SE | SE4AI | MDE,1,2030-03-30,2
B067,qe42pn@gmail.com,Meat - Just lamb,No,Software Testing,1,2031-11-09,4
N268,sok01mi9@outlook.com,Fish,No,AI4SE,5,2031-12-06,5
N930,oe8hwxs49@outlook.com,Meat,No,MDE,3,2030-07-16,1
K382,ri5s7190@outlook.com,Pasta (veg),No,Software Testing,4,2029-02-17,0
Z174,8ava4y4@yahoo.com,Pasta (veg),No,AI4SE,2,2027-07-05,2
