Participant ID,Email,Meal preference,Allergic,Topic of interest,Website rating,Reminder date,Previous versions participated
H353,css1nz@outlook.com,Pasta (veg),No,SE4AI,5,2035-10-20,4
W568,rlmy11@hotmail.com,Pasta (veg),No,Empirical SE,2,2025-02-02,2
X348,sy3nyhopw@example.com,Pasta (veg),No,AI4SE,3,2033-11-14,5
E831,kludajazrt@example.com,Pasta (veg),No,Software Testing,40%,2025-11-02,4
G384,10oe17ggp@outlook.com,Pasta (veg),No,Empirical SE,2,2034-08-28,3
N699,0dned04@gmail.com,Fish,No,Empirical SE,2,2034-07-24,2
T473,c8278ss@hotmail.com,Fish,No,Empirical SE,3,April 2025,5
J639,1clno@yahoo.com,Meat - Just lamb,No,SE4AI | MDE | AI4SE,1,2025-06-04,5
N966,smsb5ex@hotmail.com,Pasta (veg),No,MDE,2,10/04/2035,2
H979,fyzmci@yahoo.com,Meat - Halal,No,Software Testing | SE4AI | Empirical SE,5,2028-09-06,1
K483,6rkbectqt@example.com,Fish,No,SE4AI,2,27/04/2035,0
K506,gc7rik8p@example.com,Pasta - without mushrooms,No,Software Testing | Empirical SE | AI4SE,2,2031-11-24,1
Z682,dizgai@outlook.com,Fish,No,SE4AI,40%,2031-10-30,5
V507,ascy16aa@hotmail.com,Pasta (veg),No,MDE,2,February 2025,0
K062,1hrpx8jk6@gmail.com,Fish,No,AI4SE,1,12/05/2027,4
U472,yyihc9@example.com,Fish,No,Empirical SE,60%,2034-03-01,1
O512,r9127oznc@hotmail.com,Fish - (only if wild-caught; cannot eat farmed fish temporarily),No,MDE | Empirical SE | AI4SE,4,2030-04-06,3
S671,81ot4i28@gmail.com,Pasta (veg),No,Software Testing,5,2035-07-16,0
K050,696opxzy0o@outlook.com,Pasta (veg),No,AI4SE,2,2026-05-24,5
F363,v2gxsx@gmail.com,Fish,No,MDE,100%,2025-09-15,1
G668,pp8sq@outlook.com,Pasta (veg),No,Empirical SE,1,2026-07-03,0
T987,erwud@yahoo.com,Pasta (veg),No,MDE,4,2031-02-15,0
J684,hw4iw@example.com,Fish,No,Empirical SE,4,2029-06-04,4
D030,10p2y4cs@example.com,Meat,Yes,Empirical SE,60%,2029-11-17,4
A950,wgqlfqsw0@outlook.com,Fish,No,MDE,4,2034-09-26,5
H240,cge71@outlook.com,Pasta - without mushrooms,No,AI4SE | Software Testing | SE4AI,5,2031-02-13,1
