Participant ID,Email,Meal preference,Allergic,Topic of interest,Website rating,Reminder date,Previous versions participated
T291,di9rv@gmail.com,Pasta (veg),No,Software Testing,5,2034-10-28,2
I938,jzmivm90a@hotmail.com,Pasta (veg),No,Software Testing,5,2033-09-28,4
G319,pxzgw@yahoo.com,Fish,Yes,SE4AI,5,12/12/2034,2
X559,hpfuk4xlo@hotmail.com,Fish - (only if wild-caught; cannot eat farmed fish temporarily),No,SE4AI | Empirical SE | Software Testing,2,2033-10-09,0
F546,k1i691y@gmail.com,Meat - Halal,No,MDE | Software Testing | AI4SE,5,2030-09-29,1
X280,r7iep4i@hotmail.com,Pasta (veg),No,MDE,4,2031-10-15,5
W273,243s83f2wh@hotmail.com,Pasta (veg),No,Software Testing,4,2029-02-04,Most of them
V502,tzs1rkiy0t@gmail.com,Meat,No,MDE,5,2026-05-06,All
K596,x5ho86npzn@outlook.com,Pasta (veg),Yes,Software Testing,5,2026-12-20,3
K534,5qa95@outlook.com,Meat,No,AI4SE,5,01/07/2025,5
C012,21fxk@gmail.com,Pasta (veg),No,Software Testing,4,2031-01-03,All
B897,hzmqj24@yahoo.com,Fish,No,AI4SE,3,February 2025,4
Q058,2nbj4ub@yahoo.com,Meat,No,SE4AI,5,2034-02-23,1
H784,geiyecr@yahoo.com,Meat,No,Software Testing,4,January 2025,1
E669,9mbeder7z@hotmail.com,Meat - Halal,No,SE4AI | Software Testing | Empirical SE,1,2032-07-09,2
C132,2dyoq6y@example.com,Meat,No,AI4SE,1,December 2025,2
T293,x687tsfqf5@example.com,Pasta (veg),No,Empirical SE,3,2033-10-30,1
V378,hj27a5iq@example.com,Pasta (veg),No,AI4SE,3,2029-11-22,2
R884,j4kmi3cwl@outlook.com,Fish,No,MDE,1,2035-03-17,Not many
I685,orcsoqts@outlook.com,Meat,No,MDE,2,2032-03-14,5
O507,10g20@example.com,Meat,No,Software Testing,4,2033-02-08,Almost all
M186,mdxx3@outlook.com,Pasta (veg),No,MDE,5,2030-12-22,3
L328,bfibpkq@yahoo.com,Meat - Just lamb,No,MDE | SE4AI | Software Testing,2,2035-10-29,5
N115,co79s@example.com,Fish,No,MDE,5,2027-10-23,3
Q471,wxdvoj@outlook.com,Pasta - with beef,No,Software Testing | Empirical SE | MDE,1,2032-12-08,5
D129,j1wsqjk673@gmail.com,Fish,No,MDE,2,2032-06-16,2
