Participant ID,Email,Meal preference,Allergic,Topic of interest,Website rating,Reminder date,Previous versions participated
D248,r6s27uz@gmail.com,Pasta (veg),Yes,SE4AI,2,2031-10-24,5
T179,861totkfw@yahoo.com,Pasta (veg),Yes,SE4AI,3,2035-04-28,5
R698,exk9yx@example.com,Meat,No,SE4AI,3,2030-07-19,4
J410,ni0fwiuqa@outlook.com,Meat,No,SE4AI | MDE | Software Testing,2,2029-02-23,4
I855,qkocyy7q09@yahoo.com,Pasta (veg),Yes,Software Testing,5,24/08/2029,4
D460,6njx67zaz@hotmail.com,Pasta (veg),No,SE4AI,2,2029-02-01,1
I142,i9dupw@example.com,Meat,No,AI4SE | Empirical SE | MDE,1,2030-06-03,3
S769,0b28mic0@outlook.com,Fish,Yes,Empirical SE,80%,2027-04-09,5
A337,3xgwdkoq@example.com,Pasta (veg),No,MDE,4,14/11/2032,4
H900,4ntz1x043@gmail.com,Meat,No,Empirical SE | AI4SE | MDE,3,2035-12-24,3
K809,m3ew3j@gmail.com,Pasta (veg),No,AI4SE,4,2032-02-07,5
Q488,r03veuv@gmail.com,Pasta (veg),No,Empirical SE,80%,2034-05-17,3
T194,qzlsca@yahoo.com,Pasta (veg),No,SE4AI,4,2034-07-10,0
P676,lmxfx@gmail.com,Fish,No,AI4SE,5,2025-09-25,3
G514,0zittc@outlook.com,Pasta (veg),No,SE4AI | MDE | Empirical SE,3,2033-06-30,4
S677,d61eq9e5@outlook.com,Pasta (veg),No,Empirical SE,3,11/12/2029,2
H125,agl3lygik@example.com,Meat,No,SE4AI,2,2035-08-20,4
H835,15pey@yahoo.com,Meat,No,AI4SE,4,2033-04-30,0
U774,24wvsv@yahoo.com,Fish,Yes,Software Testing,3,2033-10-31,3
H602,672e0@example.com,Pasta (veg),No,AI4SE,5,18/08/2025,4
N136,lv011kzloq@example.com,Fish,No,Software Testing | SE4AI | Empirical SE,3,2034-11-23,5
E700,jt0rndlv@gmail.com,Fish,No,MDE,5,2029-06-17,2
Q389,5q75cdm@example.com,Meat,No,SE4AI,60%,2033-09-27,5
J028,mffl0bv6s@hotmail.com,Pasta (veg),No,Empirical SE,100%,2034-05-20,4
X067,llt8vxmll@gmail.com,Meat,Yes,MDE,20%,2035-04-02,4
T569,5bl36v@outlook.com,Pasta (veg),No,SE4AI,4,20/10/2030,3
