Participant ID,Email,Meal preference,Allergic,Topic of interest,Website rating,Reminder date,Previous versions participated
N672,3wfyn58@hotmail.com,Fish,No,MDE,1,2027-08-20,0
A529,3prpw1@example.com,Fish,No,Empirical SE,3,2034-07-14,3
T217,vi1cc3@outlook.com,Meat,No,SE4AI | Empirical SE | Software Testing,3,2035-02-24,3
J238,kf3so3@gmail.com,Meat,No,MDE,3,2030-08-25,3
P242,jd64wr4b@yahoo.com,Meat,No,MDE | AI4SE | SE4AI,1,2030-06-10,0
Y018,hl8jwqj@yahoo.com,Fish,No,Software Testing,5,2026-10-27,Most of them
X746,hl6kng0@hotmail.com,Fish,Yes,AI4SE,4,2027-11-14,5
F272,oeen0@hotmail.com,Pasta (veg),No,AI4SE,3,17/02/2030,2
P542,xug8x87@gmail.com,Meat,Yes,SE4AI,3,October 2026,4
X239,y6q6yyydt@outlook.com,Pasta (veg),No,Software Testing,1,08/09/2025,0
Z649,doo5sm@outlook.com,Pasta (veg),No,SE4AI,5,2026-03-28,2
O267,gx6sfamqb@gmail.com,Fish,No,MDE,5,January 2026,5
T317,hd0yu15l@example.com,Meat,No,Empirical SE,5,2034-02-18,4
M899,rxuuzunhyl@yahoo.com,Meat,No,MDE | AI4SE | SE4AI,2,2025-09-20,0
C720,nub10msy7@hotmail.com,Fish,No,MDE,2,2034-04-01,Almost all
C516,4ji64qnv4v@example.com,Pasta (veg),Yes,Software Testing,1,2033-11-29,Not many
G058,229frbe@gmail.com,Meat,No,SE4AI,1,2029-12-21,3
D915,l15k7o@gmail.com,Fish,No,Empirical SE,5,2031-10-04,Not many
E385,913wiiks5@hotmail.com,Pasta (veg),No,AI4SE,4,2032-01-09,5
X304,1qhzr4yk@example.com,Fish,No,Software Testing,3,2028-03-09,5
Z638,62duzvn@example.com,Pasta (veg),No,Software Testing | AI4SE | SE4AI,2,2030-09-16,2
B301,zcgkr7aw@example.com,Pasta (veg),No,AI4SE,5,April 2025,3
Q055,urn57i@gmail.com,Fish,No,Empirical SE,2,2035-01-03,5
X894,djwovo@yahoo.com,Fish,No,Software Testing,4,2030-12-02,Most of them
B348,a347xmjb@outlook.com,Fish,No,MDE,4,2030-04-23,2
R964,7h9rjmxepb@hotmail.com,Meat,No,MDE | SE4AI | AI4SE,1,2026-01-01,0
