Participant ID,Email,Meal preference,Allergic,Topic of interest,Website rating,Reminder date,Previous versions participated
V240,imfirc@hotmail.com,Meat,No,SE4AI,5,2025-08-28,3
P438,8bbtza@gmail.com,Pasta (veg),No,MDE,4,2033-11-07,5
B579,z7so2klz2@outlook.com,Meat,No,SE4AI,4,2035-09-02,1
D264,igjsaxt7@yahoo.com,Fish - (only if wild-caught; cannot eat farmed fish temporarily),No,Software Testing,5,2025-10-06,3
Y174,5cn2q@yahoo.com,Meat,No,MDE | Empirical SE | AI4SE,3,2025-02-08,2
T432,yepc02xe1@outlook.com,Meat,No,SE4AI | MDE | AI4SE,1,2028-07-20,0
K512,xcxtbykq5f@gmail.com,Fish,No,AI4SE | Empirical SE | Software Testing,1,2031-05-14,2
S226,f8shsu@hotmail.com,Fish,No,Empirical SE,4,2032-02-01,3
R748,wxhwy0zphq@gmail.com,Pasta (veg),No,SE4AI | Empirical SE | MDE,1,2026-03-10,0
A620,edwg2cx62@gmail.com,Pasta (veg),No,MDE | Empirical SE | AI4SE,4,2034-05-05,2
N701,26vnxc@yahoo.com,Pasta (veg),No,MDE,5,November 2025,1
B621,tv1c7fc@example.com,Fish,No,Software Testing,2,2026-06-23,2
D446,r7ftfvl@yahoo.com,Fish,No,Software Testing,2,2031-05-30,5
L037,7r2tdr@example.com,Pasta - with beef,No,SE4AI,3,2026-01-10,5
K001,uzs0qqc0x@outlook.com,Meat,No,SE4AI,5,30/08/2031,0
S958,2wnlttpeo1@outlook.com,Fish,No,SE4AI,4,11/06/2029,1
K815,jolv5hi@outlook.com,Fish,No,SE4AI,1,2031-12-27,4
R636,baqa1@outlook.com,Pasta (veg),No,AI4SE,5,2033-03-17,3
V653,tuowaky@hotmail.com,Pasta - with beef,No,Software Testing,2,2033-10-23,0
G627,vkwj45e@outlook.com,Fish,No,AI4SE,5,July 2025,4
Y999,j8e0t@example.com,Pasta (veg),No,AI4SE,2,2032-12-09,1
O550,z28c1l3@example.com,Meat,No,MDE,2,15/09/2031,5
A691,jn1pft@yahoo.com,Fish,No,Software Testing,5,2034-04-05,4
F789,1fttr0vykh@outlook.com,Pasta - without mushrooms,No,MDE,4,2031-07-19,0
P757,z9e536graw@example.com,Meat,No,Empirical SE,4,2028-02-23,0
J707,pbingzb@outlook.com,Meat - Just lamb,No,SE4AI,2,2030-06-02,5
