Participant ID,Email,Meal preference,Allergic,Topic of interest,Website rating,Reminder date,Previous versions participated
G043,husvg@example.com,Fish,No,SE4AI,5,2029-02-24,0
B431,jctbjfbol@outlook.com,Meat,No,AI4SE,2,2029-07-17,5
T899,vo9jw4r@example.com,Pasta (veg),No,MDE,3,2034-10-19,0
A366,kmevh3397@outlook.com,Meat,No,SE4AI,2,2026-08-09,Not many
I393,smuwm@outlook.com,Pasta (veg),No,SE4AI,1,2032-09-20,All
B625,jheykvh9@hotmail.com,Meat,No,SE4AI,2,2028-06-07,0
U476,cn7ut@hotmail.com,Pasta (veg),No,MDE | Software Testing | SE4AI,2,2031-03-28,0
N383,wyh9mgxb6m@hotmail.com,Fish - (only if wild-caught; cannot eat farmed fish temporarily),No,Empirical SE | MDE | AI4SE,4,2026-12-19,0
K269,p05dc321@hotmail.com,Meat,No,AI4SE,1,2029-12-04,All
O962,k5gq2mz9@hotmail.com,Fish,No,SE4AI,4,2029-03-31,0
S066,ldbgv58m@gmail.com,Fish,No,SE4AI,4,2031-05-25,Not many
V339,knjii@outlook.com,Fish,No,SE4AI,5,2031-08-16,Almost all
Z304,zbggsrws@example.com,Fish,No,SE4AI,1,2031-03-29,4
V829,ucr89@example.com,Meat - Halal,No,AI4SE | Software Testing | Empirical SE,4,2034-12-25,3
O098,1w10dx2@yahoo.com,Meat,No,MDE | Empirical SE | SE4AI,1,2031-07-06,3
V466,m3hpwop@outlook.com,Meat,No,SE4AI,4,2033-04-10,3
Q054,z783a99l8u@gmail.com,Meat,No,Software Testing | AI4SE | Empirical SE,3,2034-10-09,3
B064,ftvmgcwf9@example.com,Fish,No,MDE,4,2026-03-31,4
H330,zdgn8@yahoo.com,Meat,No,AI4SE,5,2034-02-13,4
B360,cvq3ausj@yahoo.com,Pasta (veg),No,Software Testing,3,2026-09-24,5
Q740,oamimkq1@example.com,Fish - (only if NOT Salmon or Cod),No,AI4SE | MDE | Empirical SE,4,2034-02-16,0
W861,po60yx@gmail.com,Meat,No,AI4SE | MDE | SE4AI,1,2028-07-02,3
A769,wgdo9@yahoo.com,Fish,No,MDE,1,2032-09-19,2
K743,y5jkcto@example.com,Pasta - with beef,No,SE4AI | Software Testing | MDE,4,2027-10-30,2
J599,2an8r@example.com,Fish,No,SE4AI | AI4SE | MDE,1,2030-09-28,2
N613,fy14f@hotmail.com,Pasta - with beef,No,AI4SE | MDE | Software Testing,3,2029-10-28,4
