Participant ID,Email,Meal preference,Allergic,Topic of interest,Website rating,Reminder date,Previous versions participated
T026,vznrz7@hotmail.com,Fish,No,AI4SE,2,2033-05-30,3
L559,v9xozmei@yahoo.com,Fish,No,SE4AI,4,2029-03-14,4
I606,37yq5@hotmail.com,Fish,Yes,SE4AI,3,2033-07-19,3
V412,52l8i@gmail.com,Meat,No,MDE,2,12/01/2032,4
I879,ay8auuoe98@gmail.com,Meat,No,Software Testing,5,2026-06-06,Not many
D676,soft169y17@yahoo.com,Meat,No,AI4SE,1,2031-09-29,3
R798,fp9kn@example.com,Fish,No,SE4AI,4,2032-10-22,Not many
F429,3zt74byxu8@gmail.com,Pasta (veg),No,Software Testing,1,2027-01-31,2
E445,akkqg7b2@example.com,Meat - Halal,No,AI4SE | SE4AI | MDE,2,2032-06-23,3
T256,6zpdnh6a@outlook.com,Fish,No,AI4SE,2,April 2025,4
G783,er0xv4e@example.com,Meat,Yes,MDE,1,2026-04-30,Not many
Y963,vd3cqsfd@example.com,Meat - Halal,No,Empirical SE | SE4AI | MDE,5,2034-09-05,2
Q655,ly9e26@example.com,Meat,No,Empirical SE,3,26/05/2026,5
F807,8uvzb@hotmail.com,Pasta (veg),No,Software Testing,2,2028-08-23,5
V014,lgn1jn@example.com,Meat,Yes,SE4AI,3,2029-04-16,4
U261,kaxpftnr2u@gmail.com,Meat,No,MDE,4,20/12/2027,1
Y001,5ttxway4c@example.com,Fish,No,Software Testing,3,2030-04-25,Most of them
H984,s6n2t31t8w@gmail.com,Meat - Just lamb,No,AI4SE | Empirical SE | SE4AI,5,2033-03-13,0
N532,dd8fydej@outlook.com,Fish,No,Software Testing,1,15/04/2030,4
H212,2y9qfa2t9r@hotmail.com,Pasta (veg),No,SE4AI,3,2032-09-10,Not many
E865,7nvkui9su@outlook.com,Meat - Halal,No,SE4AI | AI4SE | Empirical SE,1,2033-06-16,0
J479,70sm5@hotmail.com,Fish - (only if NOT Salmon or Cod),No,Empirical SE | MDE | AI4SE,3,2026-01-26,0
U734,9g3lq9lby@outlook.com,Fish,No,MDE,3,2035-05-06,0
A082,a8kb2m@example.com,Pasta (veg),No,AI4SE,5,2032-12-11,3
K275,zcuy6v@gmail.com,Fish,No,Software Testing,3,2032-01-04,1
N913,rgccbumvm@example.com,Fish,No,SE4AI,2,2031-04-28,2
