Employee ID,Phone number,Job start date,Position title,Workplace amenities,Remote work hours per week,Uniform color
J139,4384059027,2032-10-17,Sales Manager,"Laptop,Private office,Fan,Furniture",37,black
N040,4384844520,2028-01-07,Sales Manager,Floor lamp,6,green
P197,5143544825,2034-04-24,Designer,"A/C,",25,blue
W716,5146287419,2025-08-16,SENIOR Sales Manager,"Floor lamp,Laptop,Private office,Fan",39,black
V209,4387945132,2028-02-28,Software Engineer,"A/C,Floor lamp,Private office,Fan,Furniture",5,green
U987,5147742112,2029-03-15,SENIOR Software Engineer,"Floor lamp,Laptop,Furniture,Private office,Fan",4,white
T571,4380536665,2027-08-09,Software Engineer,"A/C,Fan,Furniture,Laptop,Private office",17,white
I785,4383296024,2028-03-26,Software Engineer,"Laptop,Private office",9,white
I529,Phone number 1: 4386494451 - Phone number 2: 4389677132 - Phone number 3: 5140885251,2029-09-08,Product Manager,"Furniture,Laptop",39,black
T825,5145164601,2034-10-16,Designer,"Laptop,Furniture,Floor lamp,Private office,Fan",21,black
E958,5145224741,2034-10-29,Designer,"Private office,Furniture,Floor lamp,Fan,Laptop",28,white
N623,4388979977,2032-02-21,Designer,"Private office,Laptop",8,blue
A351,Phone number 1: 4387414180 - Phone number 2: 4382886409 - Phone number 3: 4385409193,2028-04-18,Sales Manager,"Fan,Furniture,Floor lamp",13,black
J959,4386947554,2034-11-28,SENIOR Designer,"Floor lamp,Fan,Furniture,Laptop,Private office",4,white
Y852,Phone number 1: 4383479226 - Phone number 2: 5149580314 - Phone number 3: 4383620109,2031-09-16,Sales Manager,"Laptop,Furniture",33,black
D237,4387410844,2027-03-08,Sales Manager,"Private office,Floor lamp,Furniture,Laptop",20,red
C527,4388831202,2029-05-05,Software Engineer,"A/C,Floor lamp",8,blue
W593,5144268367,2027-05-03,Data Scientist,Laptop,40,black
O755,Phone number 1: 4383675159 - Phone number 2: 4388497507 - Phone number 3: 5144718489,2030-04-15,Designer,"Fan,Laptop,Furniture",5,green
D675,5140095010,2026-01-22,Product Manager,"Floor lamp,Furniture,Laptop",13,blue
C762,4389520854,2027-03-28,SENIOR Sales Manager,"Laptop,Fan,Furniture,Private office,Floor lamp",16,black
O215,4387076021,2034-12-02,Sales Manager,"A/C,Furniture,Fan",31,white
J604,Phone number 1: 5148383487 - Phone number 2: 5140129525 - Phone number 3: 5145632521,2033-08-17,Sales Manager,Fan,33,red
X589,5143149283,2032-02-09,Software Engineer,Floor lamp,4,black
F791,5144449651,2027-11-19,SENIOR Designer,"Fan,Private office,Floor lamp",17,black
G566,5145974523,2034-12-19,Data Scientist,"Private office,Laptop,Fan,Furniture",33,green
