Employee ID,Phone number,Job start date,Position title,Workplace amenities,Remote work hours per week,Uniform color
B788,5149610539,2031-12-10,Product Manager,"Fan,Private office,Laptop,Floor lamp",25,black
T633,5142549607,2032-01-18,Designer,Floor lamp,11,blue
X621,5141711518,2026-05-06,Product Manager,"Furniture,Laptop,Private office,Fan,Floor lamp",20,red
R900,4388322150,2033-02-26,Sales Manager,"Floor lamp,Laptop,Furniture",1,black
C675,4380922948,In four years,Data Scientist,"Laptop,Floor lamp",25,green
I095,Phone number 1: 5141782988 - Phone number 2: 5148829962 - Phone number 3: 4387830328,2030-09-20,JUNIOR Software Engineer,"Private office,Fan,Floor lamp,Laptop",19,blue
A895,5140886799,In two years,Software Engineer,"Fan,Private office",25,red
D505,5144342733,2026-10-10,Product Manager,"A/C,Private office",14,green
P580,Phone number 1: 5147883750 - Phone number 2: 4387341071 - Phone number 3: 5148051512,2034-06-24,JUNIOR Designer,"Floor lamp,Fan",12,white
Q478,5147663696,2026-02-24,Software Engineer,"Laptop,Furniture,Fan,Private office",24,white
S901,4383251893,2027-06-12,Software Engineer,"Furniture,Floor lamp",1,white
I609,Phone number 1: 5147544388 - Phone number 2: 5148200612 - Phone number 3: 5144965389,2033-09-17,JUNIOR Designer,"Furniture,Private office",0,black
U110,5149888575,In five years,Sales Manager,"Fan,Laptop",12,blue
N474,4386007279,2034-01-24,Sales Manager,"A/C,Fan,Floor lamp",33,green
E698,5140162124,2025-11-16,Data Scientist,"Fan,Laptop,Floor lamp",33,red
C848,4388018812,2027-03-10,Software Engineer,"Fan,Laptop",40,white
X731,4385573343,2025-07-17,Data Scientist,"A/C,",0,black
F207,4389436560,2028-10-24,Data Scientist,"Private office,Fan,Floor lamp",18,green
A533,4384453971,2026-01-15,Designer,"Laptop,Private office,Floor lamp,Fan",33,blue
N689,Phone number 1: 5140221890 - Phone number 2: 5148880860 - Phone number 3: 5143500624,2025-09-21,JUNIOR Product Manager,"Private office,Furniture,Laptop",16,blue
M073,5142608941,07/26/2027,Designer,"Laptop,Floor lamp,Private office,Furniture",30,white
E377,4385906578,2033-10-16,Designer,"Fan,Furniture,Private office",20,black
Q709,4382741595,12/03/2025,Sales Manager,"Private office,Furniture,Floor lamp",32,green
Y561,4380477728,2029-01-17,Data Scientist,"A/C,Fan",18,red
T422,Phone number 1: 4383240976 - Phone number 2: 4382016826 - Phone number 3: 4381281295,2026-10-15,JUNIOR Sales Manager,"Laptop,Private office,Floor lamp,Fan",23,green
M647,4383268787,2034-03-30,Software Engineer,"A/C,Furniture,Private office",28,red
