Employee ID,Phone number,Job start date,Position title,Workplace amenities,Remote work hours per week,Uniform color
K946,4382861756,2025-10-08,Product Manager,"Laptop,Private office,Furniture,Fan,Floor lamp",8,blue
N374,5145740278,2034-01-08,Designer,Private office,15,red
A227,5144655232,2026-04-28,SENIOR Software Engineer,"Laptop,Fan,Private office,Furniture,Floor lamp",37,red
V637,5146708784,12/27/2024,Product Manager,Floor lamp,34,blue
L168,5143849753,2032-09-08,Designer,"Laptop,Furniture,Private office,Floor lamp",14,blue
C824,4389377684,2029-05-21,Designer,"Fan,Furniture",33,red
Z887,4383313309,2030-03-21,Sales Manager,"A/C,Furniture",13,blue
M775,5146325516,2029-10-16,Sales Manager,"A/C,",12,blue
W449,5142806563,2026-09-23,Product Manager,"A/C,Furniture,Fan,Laptop",14,red
S212,4385506952,In two years,Software Engineer,"Floor lamp,Private office,Furniture,Laptop",27,white
C872,4380482412,2030-04-21,Data Scientist,"Laptop,Floor lamp",15,blue
G562,4384773114,2031-05-29,SENIOR Data Scientist,"Private office,Fan,Laptop,Floor lamp",6,white
L950,5149555942,2028-10-02,Product Manager,Fan,35,blue
S750,4384668696,2029-11-18,SENIOR Sales Manager,"Floor lamp,Private office",7,blue
R106,4386241350,2024-12-10,Product Manager,"Fan,Private office",13,white
T322,4386791399,2027-11-09,SENIOR Sales Manager,"Private office,Furniture,Fan,Laptop,Floor lamp",11,black
M561,4386557705,In four years,Sales Manager,"Laptop,Floor lamp,Furniture",0,black
O954,5146919487,2031-07-26,Data Scientist,"Furniture,Private office,Floor lamp,Fan",16,black
B602,5143259980,2027-02-25,Data Scientist,"A/C,Private office,Laptop",40,white
J027,5145801645,2027-05-08,Software Engineer,"Laptop,Furniture,Private office,Floor lamp",12,green
G053,4381771920,2028-07-20,SENIOR Data Scientist,"Laptop,Private office",39,red
N837,4386918879,2031-07-10,Designer,Fan,14,green
K753,4388184611,2027-07-07,Data Scientist,"A/C,Fan,Furniture",39,red
E399,4389967898,06/16/2028,Product Manager,"Floor lamp,Furniture,Private office,Fan,Laptop",36,black
O226,4384850247,In four years,Product Manager,Private office,14,green
Q901,4389386837,2028-12-03,Designer,"Laptop,Furniture,Private office",9,blue
