Employee ID,Phone number,Job start date,Position title,Workplace amenities,Remote work hours per week,Uniform color
S658,5149690223,2027-08-31,Software Engineer,"Furniture,Floor lamp",10,white
B151,4385699788,2025-05-03,Data Scientist,"Private office,Laptop,Floor lamp,Fan",8,green
T669,Phone number 1: 5145875345 - Phone number 2: 4388568260 - Phone number 3: 4385343352,2029-12-09,Sales Manager,Laptop,9,red
P702,Phone number 1: 5149642547 - Phone number 2: 4389151800 - Phone number 3: 5145668647,2028-01-28,Data Scientist,"Laptop,Fan,Furniture",32,green
X546,4381655913,2031-10-16,Software Engineer,"Private office,Floor lamp,Furniture,Fan",21,red
O078,5148090529,2031-12-05,Product Manager,"A/C,Furniture",25,white
G649,5145748707,2030-08-01,Data Scientist,"A/C,Laptop,Fan,Furniture",14,red
X202,4385118148,2028-04-16,Data Scientist,Furniture,22,green
I728,5148959803,2031-07-18,Data Scientist,"Private office,Furniture",36,red
Q802,Phone number 1: 4382503182 - Phone number 2: 4387984812 - Phone number 3: 4384960929,2033-05-09,Sales Manager,"Fan,Floor lamp,Laptop,Private office",1,red
Y432,Phone number 1: 5145982982 - Phone number 2: 5149863324 - Phone number 3: 4384188398,2029-02-10,Data Scientist,"Fan,Laptop",30,red
X671,4386136890,2026-07-11,Software Engineer,"Furniture,Fan",5,white
S101,5149741980,2032-11-06,Data Scientist,"A/C,Furniture,Laptop,Private office,Floor lamp",35,white
S127,Phone number 1: 5143318868 - Phone number 2: 5143707243 - Phone number 3: 5145591773,2028-12-15,Designer,Furniture,22,blue
A239,4385562375,2029-05-09,Designer,"A/C,Laptop,Private office,Floor lamp,Fan",7,blue
Q471,Phone number 1: 4389016888 - Phone number 2: 4382323372 - Phone number 3: 4385181797,2032-12-25,JUNIOR Product Manager,"Furniture,Private office,Laptop,Floor lamp",9,red
W309,5148058688,2025-03-05,Designer,Private office,13,white
A887,5143585139,2033-06-21,Sales Manager,Laptop,2,black
C861,Phone number 1: 5148590605 - Phone number 2: 4388896659 - Phone number 3: 5147207570,2034-02-24,JUNIOR Sales Manager,"Fan,Floor lamp,Laptop,Furniture",27,red
B516,Phone number 1: 4382681652 - Phone number 2: 4381484414 - Phone number 3: 4382586934,2032-06-28,JUNIOR Designer,"Laptop,Floor lamp,Furniture",22,black
E719,4388025724,2028-08-07,Software Engineer,"Private office,Furniture,Laptop,Floor lamp",3,black
I809,4385623977,2028-06-29,Product Manager,"Floor lamp,Furniture,Private office",5,red
J992,4387310926,2034-01-25,Data Scientist,"A/C,Private office,Floor lamp",23,blue
V595,Phone number 1: 5149623452 - Phone number 2: 4380585150 - Phone number 3: 4381096551,2028-08-02,JUNIOR Data Scientist,Private office,23,black
L747,5149442783,2028-04-19,Data Scientist,"Furniture,Laptop",13,green
B147,Phone number 1: 5142783822 - Phone number 2: 4387661121 - Phone number 3: 4385037989,2030-07-22,JUNIOR Designer,"Fan,Laptop,Floor lamp",36,black
