Employee ID,Phone number,Job start date,Position title,Workplace amenities,Remote work hours per week,Uniform color
I024,4383066683,2033-01-21,Software Engineer,"Furniture,Private office,Laptop,Floor lamp,Fan",38,black
B855,5141361515,2033-04-08,Sales Manager,Laptop,21,blue
P431,Phone number 1: 5141988133 - Phone number 2: 5145162896 - Phone number 3: 5142235544,2033-12-13,Designer,"Floor lamp,Furniture,Private office,Fan",27,green
U666,5141188258,2032-11-05,Software Engineer,"A/C,Fan,Private office",28,black
K459,5146694629,2032-01-23,Data Scientist,"A/C,Private office,Furniture,Fan",12,red
F017,5145247426,2024-12-17,Software Engineer,"Private office,Laptop,Fan,Floor lamp,Furniture",29,green
A016,Phone number 1: 5140991994 - Phone number 2: 5140224191 - Phone number 3: 4389671137,2034-12-13,Designer,"Furniture,Private office,Fan",2,white
H768,4381022464,2028-11-14,Product Manager,"Private office,Laptop,Furniture",32,black
P360,5140258310,2025-06-20,Data Scientist,"Fan,Furniture,Private office,Floor lamp,Laptop",35,black
E068,Phone number 1: 5141116750 - Phone number 2: 4382149420 - Phone number 3: 4385917953,2032-01-22,Product Manager,"Floor lamp,Laptop,Furniture,Fan,Private office",18,blue
S041,4385570039,04/20/2025,Sales Manager,"Floor lamp,Laptop,Private office,Fan,Furniture",37,red
X539,4386913421,2031-03-13,Designer,"A/C,",18,black
A193,5147466983,In two years,Product Manager,Laptop,17,white
S694,4383019582,2030-11-06,Product Manager,"Furniture,Floor lamp,Fan",23,white
Z127,4381815794,2030-10-11,Product Manager,"A/C,Private office,Fan,Floor lamp,Laptop",39,red
K546,4383044822,2026-01-14,Data Scientist,"Private office,Laptop",38,green
H981,4386881041,In one years,Product Manager,"Private office,Laptop",19,red
R304,Phone number 1: 5149588246 - Phone number 2: 5143974649 - Phone number 3: 4386682835,2026-11-06,Designer,"Furniture,Laptop,Fan,Floor lamp,Private office",4,red
V130,5145680021,2033-04-26,Software Engineer,"Floor lamp,Furniture,Laptop,Fan,Private office",15,green
J336,4382486458,2030-04-12,Product Manager,"Floor lamp,Fan",23,red
O316,5148941868,08/15/2030,Product Manager,"Floor lamp,Furniture,Private office,Laptop,Fan",40,red
L241,4385868886,2034-09-15,Sales Manager,"Floor lamp,Private office,Laptop,Furniture,Fan",32,red
W640,4382541715,In one years,Software Engineer,"Fan,Laptop,Floor lamp,Furniture,Private office",23,red
S479,4389255374,2027-12-24,Sales Manager,"A/C,Furniture,Floor lamp,Laptop",37,white
P325,Phone number 1: 5149984628 - Phone number 2: 4387946146 - Phone number 3: 4384463930,2034-07-16,Data Scientist,"Furniture,Fan,Floor lamp,Private office,Laptop",9,black
F851,4386632393,2024-11-18,Designer,"Fan,Floor lamp,Private office,Laptop",32,blue
