Employee ID,Phone number,Job start date,Position title,Workplace amenities,Remote work hours per week,Uniform color
E567,5140070460,2031-09-25,Sales Manager,Floor lamp,7,white
P815,4381224571,2031-05-30,Software Engineer,"Laptop,Floor lamp,Furniture,Private office",3,blue
X662,Phone number 1: 4389705199 - Phone number 2: 4387875245 - Phone number 3: 4380534927,2034-03-20,JUNIOR Software Engineer,"Floor lamp,Laptop",32,red
W641,4383776826,2031-04-27,Designer,Furniture,6,blue
X238,5149791464,2029-06-11,Data Scientist,"Laptop,Fan",10,black
Q385,4384660666,2028-09-02,Designer,"Private office,Laptop,Fan,Floor lamp,Furniture",4,red
B992,4383376671,2029-01-05,SENIOR Sales Manager,"Private office,Floor lamp,Fan,Laptop,Furniture",11,green
U172,4387474370,01/19/2031,Sales Manager,"Private office,Laptop,Fan,Floor lamp,Furniture",6,black
U062,5148958098,2027-02-26,Designer,"Laptop,Fan,Furniture,Floor lamp,Private office",36,red
B310,Phone number 1: 4386396561 - Phone number 2: 5147019579 - Phone number 3: 4386551115,2033-12-11,JUNIOR Product Manager,"Floor lamp,Private office,Laptop,Fan",12,blue
F578,4380202282,2034-02-06,Designer,"Private office,Fan,Laptop,Floor lamp",8,blue
F825,4382550298,2027-06-05,SENIOR Product Manager,Furniture,22,black
S770,4388506378,2030-04-17,SENIOR Data Scientist,Laptop,9,blue
S358,Phone number 1: 5143458802 - Phone number 2: 4383793069 - Phone number 3: 4384821460,2028-02-27,JUNIOR Software Engineer,"Private office,Fan,Furniture",29,green
H324,4387188592,08/06/2031,Software Engineer,Floor lamp,16,red
H672,4388143914,2032-03-16,Sales Manager,"Laptop,Private office,Furniture",37,white
J349,5146279682,In five years,Sales Manager,Floor lamp,20,black
V303,5141444201,2033-11-11,Designer,"Floor lamp,Furniture",40,red
Z536,4385571057,2029-02-16,SENIOR Sales Manager,"Laptop,Private office,Floor lamp",35,green
E726,4380032389,02/06/2030,Data Scientist,"Furniture,Private office,Floor lamp,Laptop",25,black
X541,Phone number 1: 5144691696 - Phone number 2: 4382542055 - Phone number 3: 5143211496,2025-10-16,JUNIOR Software Engineer,"Furniture,Fan",15,black
C382,Phone number 1: 4380236683 - Phone number 2: 5143743252 - Phone number 3: 5145954382,2030-09-26,JUNIOR Product Manager,Private office,29,blue
V204,4381683686,2033-03-20,Product Manager,Floor lamp,0,black
L142,4385113924,2032-03-26,SENIOR Designer,"Floor lamp,Laptop",20,black
L621,5140712304,In five years,Software Engineer,"Private office,Fan,Laptop,Furniture,Floor lamp",20,red
C354,5142541536,2030-02-28,Sales Manager,"Fan,Furniture,Floor lamp",30,white
