Employee ID,Phone number,Job start date,Position title,Workplace amenities,Remote work hours per week,Uniform color
R450,4386503375,2031-08-01,Designer,"Floor lamp,Laptop,Furniture",20,black
Z704,4381074373,2025-01-03,Designer,"Laptop,Floor lamp",6,green
O905,Phone number 1: 5149712853 - Phone number 2: 4383725022 - Phone number 3: 4387210453,2025-12-01,JUNIOR Software Engineer,"Laptop,Floor lamp,Fan,Furniture",3,blue
C245,5144504354,03/23/2030,Sales Manager,"Private office,Floor lamp,Laptop",3,green
T843,4386173971,01/15/2028,Designer,"Furniture,Private office,Floor lamp",34,blue
P963,Phone number 1: 5146171017 - Phone number 2: 5143817342 - Phone number 3: 4383074974,2032-02-28,Product Manager,"Fan,Floor lamp,Private office",33,white
J392,4389823439,In one years,Data Scientist,Floor lamp,15,green
D714,Phone number 1: 4385486127 - Phone number 2: 5146228722 - Phone number 3: 4384216589,2028-08-16,JUNIOR Data Scientist,"Fan,Laptop,Private office,Floor lamp,Furniture",34,black
X747,5147616302,2027-02-23,Software Engineer,"Private office,Furniture,Laptop,Fan,Floor lamp",35,black
B853,Phone number 1: 4388152747 - Phone number 2: 4386636282 - Phone number 3: 5143372056,2026-10-13,Sales Manager,Laptop,1,red
S695,4385015959,In two years,Product Manager,Floor lamp,19,black
O976,Phone number 1: 5149235401 - Phone number 2: 4382386230 - Phone number 3: 4387824140,2032-11-19,JUNIOR Data Scientist,Laptop,19,blue
O402,Phone number 1: 4384783973 - Phone number 2: 5148428113 - Phone number 3: 5144668845,2033-09-30,Software Engineer,Furniture,34,red
G047,4389387225,2030-07-10,Sales Manager,"Floor lamp,Fan,Laptop,Private office",1,black
T381,Phone number 1: 4382862282 - Phone number 2: 4389805242 - Phone number 3: 4381503810,2025-04-06,JUNIOR Designer,"Floor lamp,Laptop,Fan",25,blue
L266,4389863852,2025-10-26,Product Manager,Private office,3,red
R353,5140232685,2031-10-23,Data Scientist,"Furniture,Private office,Fan",38,white
I153,Phone number 1: 4387361245 - Phone number 2: 5141161394 - Phone number 3: 5143565985,2025-07-10,Data Scientist,"Fan,Laptop,Furniture,Floor lamp,Private office",27,blue
R938,Phone number 1: 5143977616 - Phone number 2: 5145732380 - Phone number 3: 5144286488,2029-03-26,JUNIOR Sales Manager,Fan,5,white
U823,4384918259,2034-11-21,Software Engineer,"Laptop,Furniture,Floor lamp,Fan,Private office",33,blue
G813,5141789687,2032-01-12,Product Manager,"Laptop,Private office",25,blue
J373,5145966313,2034-03-13,Sales Manager,"Fan,Furniture,Private office",10,red
K859,4382086291,In two years,Sales Manager,"Fan,Private office,Floor lamp",20,blue
V329,4385205417,2032-10-07,Product Manager,"Furniture,Fan,Laptop,Floor lamp,Private office",11,red
V544,Phone number 1: 4381138426 - Phone number 2: 4382739446 - Phone number 3: 5149919782,2026-06-18,Designer,"Furniture,Floor lamp,Private office,Fan",13,white
D103,4384274508,2034-11-20,Product Manager,"Floor lamp,Laptop,Fan",40,black
