Employee ID,Phone number,Job start date,Position title,Workplace amenities,Remote work hours per week,Uniform color
V946,5144988452,2034-05-18,Designer,"Private office,Fan",14,blue
Z407,5142576198,2034-04-26,Sales Manager,Floor lamp,1,blue
F149,5145956868,2030-03-17,Designer,"A/C,Laptop",27,white
B985,4386939699,2024-12-19,SENIOR Software Engineer,"Laptop,Floor lamp,Furniture",7,green
P011,4387872671,2031-08-08,Software Engineer,"Private office,Floor lamp",21,red
B791,4380837233,2026-12-14,Software Engineer,"A/C,Floor lamp,Laptop",6,green
N922,5149209742,2031-09-03,Data Scientist,"Floor lamp,Fan,Furniture,Laptop,Private office",25,green
R110,5146983310,2033-10-03,Software Engineer,Furniture,0,blue
I806,4383498186,2030-09-18,Data Scientist,"Furniture,Fan,Floor lamp,Private office",20,green
V373,4383109642,2025-12-09,Software Engineer,"A/C,Fan",35,black
N715,5147244970,2030-07-07,SENIOR Sales Manager,"Fan,Laptop,Furniture,Floor lamp",9,green
Z348,5142677182,2029-03-13,Sales Manager,Private office,13,blue
G309,Phone number 1: 5146420419 - Phone number 2: 5143079411 - Phone number 3: 5140754735,2029-10-08,JUNIOR Data Scientist,"Private office,Fan,Floor lamp,Laptop",2,red
U697,4381772078,2032-06-18,SENIOR Product Manager,"Floor lamp,Furniture,Fan",17,blue
Q425,5148622451,2029-09-01,Product Manager,"Laptop,Floor lamp",8,white
F663,4389845762,2029-11-27,Software Engineer,"A/C,Laptop,Private office,Fan",17,black
G687,Phone number 1: 4387123894 - Phone number 2: 4389115953 - Phone number 3: 5146899289,2029-11-30,JUNIOR Software Engineer,"Private office,Floor lamp,Furniture,Fan,Laptop",4,white
Y602,5144296158,2028-09-30,Software Engineer,"Furniture,Fan,Laptop",16,green
N304,5147183024,2033-01-01,Product Manager,Floor lamp,23,red
D178,Phone number 1: 4383247044 - Phone number 2: 4389435030 - Phone number 3: 5141585000,2032-04-29,JUNIOR Software Engineer,"Fan,Laptop",30,black
Q905,4380204380,2025-12-28,Product Manager,Fan,24,blue
D044,5147592860,2030-08-27,SENIOR Data Scientist,"Laptop,Private office",24,red
O373,5144638685,2027-08-20,Product Manager,"A/C,Floor lamp,Private office,Fan,Furniture",26,white
M240,4382032679,2027-09-23,SENIOR Designer,Private office,23,green
Y247,Phone number 1: 5140749606 - Phone number 2: 5147054580 - Phone number 3: 5146008521,2033-11-02,JUNIOR Designer,Furniture,19,green
Y944,Phone number 1: 5148804912 - Phone number 2: 4383895636 - Phone number 3: 4381767944,2026-09-13,JUNIOR Software Engineer,"Laptop,Fan,Private office,Furniture",35,green
